px(1)   py(1)   pz(1)   E(1)  px(2)   py(2)   pz(2)   E(2)
29.8031     -17.4585     42.3027     54.7794     59.8718     -48.9034     -71.6082     105.647
-5.50139     45.5153     -74.4245     87.5668     108.285     0.41497     -52.458     120.485
-49.7486     -46.8373     118.406     136.846     64.6664     -56.4438     79.6999     117.327
-41.1565     45.5617     1046.02     1047.84     29.0721     68.5162     325.81     334.249
-11.6141     60.2333     -28.5514     67.9597     76.5083     25.5004     -181.29     198.504
1.01736     21.9786     6.47587     23.167     -10.6303     -119.566     40.1249     126.759
-36.7789     15.4997     212.513     216.347     -52.0284     -89.4013     142.244     176.022
29.2314     -20.0746     -38.1967     52.2867     7.14078     113.465     -276.92     299.55
-21.3884     57.8293     -57.027     84.1487     61.8855     8.35145     -117.241     133.011
-60.1576     -13.678     -72.0956     95.0426     -0.685402     98.8786     -119.516     155.265
28.1751     -62.7935     759.18     762.32     -86.2995     -25.8143     849.309     854.162
-10.5827     -20.2846     -2.64389     23.2842     36.82     83.175     35.7137     97.9602
40.3056     -16.9011     -22.1602     49.1688     17.0498     95.6438     -199.3     221.807
-0.303221     -22.5998     7.06903     23.7685     -36.1578     127.299     143.146     195.076
23.1427     -39.0794     70.8367     84.1823     89.5818     39.9958     472.04     482.187
24.1405     -25.2326     -8.62833     36.1518     2.36963     -64.1365     172.574     184.207
7.60973     -19.8719     -11.3016     24.3279     -73.3295     94.7202     22.316     122.423
3.70082     -44.3678     -79.0584     91.0038     -59.6708     -49.4286     25.8576     81.9165
-12.4693     28.2982     -18.3282     36.3044     70.6407     50.7786     117.4     146.234
-22.1649     33.5686     -215.58     219.37     -65.2904     -91.7923     -299.494     320.093
44.5101     -13.1554     19.7384     50.652     -6.69093     115.168     58.6178     129.599
-24.8426     35.3483     508.159     510.006     -73.379     -20.5863     187.02     202.048
7.48284     51.8255     -237.548     243.29     -98.7673     -15.8209     -602.315     610.613
42.9337     -34.9788     -21.6955     59.7394     31.4991     55.9958     -28.5374     70.4148
-41.6038     -13.0287     -345.861     348.645     -12.2499     51.1205     -155.049     163.841
38.1936     68.0072     5.2027     78.3729     67.1688     -48.8697     -19.6239     85.5181
-24.6419     49.0662     -172.641     181.219     78.3248     26.5163     -197.985     214.605
-40.5809     -7.31574     162.876     168.091     49.6754     -98.3701     221.969     247.91
24.2954     16.9031     -23.1465     37.9631     -46.428     83.2419     100.466     138.766
5.71051     30.2375     -158.464     161.467     -119.608     -57.5912     -1176.04     1183.53
-53.2798     43.0722     18.2771     71.1705     -58.2253     -50.9767     -64.9804     101.235
53.8481     9.58017     -1.75808     54.9172     -0.831603     85.789     114.714     143.344
-9.79796     46.2097     76.2932     89.888     -80.4414     -8.04187     -4.12089     81.2843
19.0322     53.8179     100.554     115.838     -87.1902     39.9966     37.2303     103.125
3.78807     41.0113     -14.743     44.3004     -69.519     40.3754     132.792     155.373
17.8056     31.162     52.0048     63.3408     86.6827     10.1807     -52.2401     101.943
37.6457     9.90792     80.4659     89.6211     -9.19631     -115.713     556.459     568.465
-40.62     -30.9331     -70.0643     86.8443     -39.4908     99.3084     -240.889     263.65
-20.0993     42.0028     8.93114     47.8585     71.7895     49.8544     174.345     195.179
-63.4786     -30.3779     -30.0674     76.6876     37.3164     -59.8214     -52.3502     88.0689
23.8604     -38.3483     205.699     210.687     12.3093     -64.1212     25.6582     70.4506
23.1298     34.4534     42.1802     59.3486     -115.635     19.4303     67.7983     135.566
17.0729     -32.5803     -34.0897     50.5872     79.8419     -12.0092     -511.849     518.231
-19.7713     -29.618     -93.7238     100.409     106.102     -51.7627     -86.1318     146.674
43.9175     2.02512     130.971     138.288     -30.3876     63.3963     140.227     156.924
-0.261816     27.7     -161.458     163.858     -100.245     -81.2569     -851.18     860.938
-26.1378     -4.67314     0.211453     27.2089     94.2325     101.799     -59.2999     151.179
21.7845     8.18083     -937.502     937.794     38.1266     88.3967     -542.293     550.83
27.2768     1.32419     460.591     461.413     -13.5292     -110.9     473.173     486.223
-12.6463     -64.1775     403.466     408.769     -92.0949     23.9798     873.143     878.338
-40.469     22.7629     88.2631     99.9944     83.0918     73.6678     125.459     167.677
28.8931     -41.9267     87.6589     101.542     -83.7215     -32.5405     73.3015     116.153
29.5154     0.388453     -8.62892     31.0482     -84.1864     86.4314     33.6625     125.634
18.4526     46.2789     330.854     334.613     59.3627     27.488     68.7931     95.1531
8.76218     26.8925     43.7376     52.257     -4.85519     50.8354     -43.8143     67.4289
28.8794     -13.654     4.06439     32.3907     -59.6743     -78.3885     61.4352     116.277
-44.9838     -2.59854     -62.8512     77.4852     0.888135     102.844     -425.734     438.056
43.3048     35.7226     -389.388     393.493     -59.168     70.7783     -270.711     286.279
2.15899     -26.9798     -66.8962     72.3364     -64.4367     114.994     -294.47     322.703
40.0187     -22.0144     -7.57356     46.5591     60.9022     33.3361     -176.337     189.578
-0.891401     44.0999     278.666     282.185     -87.8157     -12.9575     197.273     216.427
-41.9414     -1.48192     112.879     120.485     -30.5718     82.9268     36.3778     95.7213
9.00095     -27.462     -40.7521     50.0869     -97.768     -37.4349     -673.989     682.108
29.8861     -16.9406     -10.8406     36.1303     -5.08542     115.972     34.6012     121.295
16.7788     -14.8998     -53.0941     57.7109     -11.849     125.746     -90.0465     155.344
18.8471     13.4565     42.8881     48.7902     -98.719     50.6274     703.66     712.373
-11.0351     24.1395     -9.90268     28.6391     -28.2555     -131.938     -98.8554     167.397
-45.1292     7.72564     224.235     229.012     59.3085     97.6933     540.459     552.45
19.4908     -5.99358     82.3395     84.8877     -112.543     67.0337     344.783     368.922
-16.7886     37.4811     21.8669     46.7183     -84.1924     -77.5046     6.72083     114.91
-61.3127     -1.77022     -35.6962     71.1547     9.36106     -82.008     -1.8996     82.788
-21.7291     12.3057     -0.735003     25.2015     27.7581     95.6116     258.929     277.427
-70.6638     20.5352     461.05     466.94     -10.3429     -84.8587     566.089     572.548
44.4254     27.8272     1.10986     53.2902     -78.6618     64.2199     -14.1314     102.784
-62.1483     -22.4019     59.6065     89.2633     -37.764     64.1067     -18.443     76.8564
10.495     -28.5184     0.802637     30.7608     84.1014     56.1794     -24.6874     104.419
11.6377     47.4798     27.8197     56.5338     92.9832     0.903942     263.982     280.118
-29.9779     28.4354     -239.847     243.408     -35.5658     48.9418     -26.4307     66.2888
-37.2762     -24.9435     44.7151     63.5962     35.322     -81.3144     363.498     374.236
-11.1351     51.8339     -75.6126     92.6772     60.1774     21.0781     -4.69808     64.3135
36.7207     -15.2478     -14.2887     42.5844     -88.2664     -89.7657     -106.273     164.852
56.3085     10.5287     45.589     73.4137     -4.94153     -97.657     117.138     152.896
0.307955     -26.1473     -14.6075     30.2372     -33.0932     130.677     -128.455     186.38
-6.92295     46.9523     -57.3213     74.5971     -98.9405     -16.3694     -2.05565     100.479
-68.4891     -40.2298     -104.637     131.833     46.682     -72.1073     -181.611     201.082
35.4472     34.0933     112.368     122.774     15.0914     60.3806     917.872     919.998
