px(1, true)   py(1, true)   pz(1, true)   E(1, true)  px(2, true)   py(2, true)   pz(2, true)   E(2, true)   px(1)   py(1)   pz(1)   E(1)  px(2)   py(2)   pz(2)   E(2)
230.535     23.8329     2918.05     2927.24     -230.535     -23.8329     -312.211     388.831     -228.628     -23.4223     -309.685     386.337     231.066     24.019     2917.45     2926.79
108.194     -43.1423     -1042.15     1048.64     -108.194     43.1423     0.888418     116.482     106.851     -42.7397     -1056.61     1063.12     -108.236     42.2461     2.96725     117.683
102.114     53.2704     -16.9096     116.408     -102.114     -53.2704     -327.394     347.062     100.535     52.3488     -15.5122     115.23     -100.153     -53.1343     -325.194     344.67
45.5801     -120.904     -8.5586     129.494     -45.5801     120.904     -95.5754     160.717     46.5835     -120.79     -10.7045     131.342     -47.0482     122.125     -94.8832     162.52
50.5874     -133.518     -39.1805     148.058     -50.5874     133.518     9.86192     143.12     -50.8718     130.91     9.95361     141.682     49.3984     -136.134     -40.0574     151.644
131.518     160.514     215.288     299.016     -131.518     -160.514     16.7909     208.191     129.327     161.812     220.392     303.554     -132.738     -159.032     15.0619     208.954
106.756     -37.2651     108.209     156.508     -106.756     37.2651     -410.516     425.804     -101.964     35.8905     -402.001     416.614     104.914     -36.898     103.658     152.839
-115.985     20.3676     -528.867     541.819     115.985     -20.3676     -56.8255     130.753     115.999     -19.2072     -55.995     131.586     -115.734     21.0739     -538.654     551.698
71.4767     -75.9794     304.469     321.843     -71.4767     75.9794     105.722     148.522     -70.463     75.3876     105.343     148.038     71.8176     -75.4897     317.066     334.425
101.875     -71.0851     -799.846     809.435     -101.875     71.0851     -381.496     401.211     -100.229     68.6199     -378.839     397.903     100.203     -71.5461     -799.192     808.767
24.6569     -134.435     210.821     251.249     -24.6569     134.435     -401.192     423.835     25.8478     -135.24     209.606     251.504     -24.9588     137.175     -405.39     429.348
-100.898     51.5062     -690.627     699.857     100.898     -51.5062     -28.3515     116.778     -98.7483     50.3952     -680.862     690.085     99.1472     -50.4942     -28.3344     115.929
-140.085     71.3629     54.3683     166.35     140.085     -71.3629     430.505     458.313     -139.385     72.7007     56.0348     167.711     141.008     -72.2564     426.795     455.354
125.465     -19.2162     -528.136     543.174     -125.465     19.2162     -89.885     155.531     -121.508     16.5669     -85.9094     150.14     125.522     -20.8878     -530.407     545.841
92.5851     45.0924     103.961     146.333     -92.5851     -45.0924     258.811     278.548     -89.3071     -44.0881     249.404     269.052     89.7344     43.6789     103.393     144.251
-94.4248     -68.2576     1350.21     1355.22     94.4248     68.2576     466.708     481.031     -93.1873     -67.9295     1320.05     1325.12     94.866     66.2031     481.235     495.424
-100.814     50.5552     -527.974     539.885     100.814     -50.5552     -403.596     419.057     -97.5478     49.8566     -516.786     528.407     100.023     -48.8802     -404.554     419.994
113.286     55.9991     -99.2649     160.696     -113.286     -55.9991     -48.5644     135.382     111.784     54.3801     -99.1004     159.464     -111.543     -55.5722     -47.4819     133.704
