px(1)   py(1)   pz(1)   E(1)  px(2)   py(2)   pz(2)   E(2)
8.43875     -6.37906     -17.1979     20.197     24.2897     -19.4082     -47.4327     56.7144
31.5831     7.06928     -117.369     121.749     4.45349     -9.93261     -23.0246     25.4729
-9.67034     -5.87515     7.57306     13.6156     -9.99245     -5.92544     7.63068     13.8999
8.6998     25.4953     31.0029     41.0716     8.7821     14.3725     100.811     102.208
-11.27     -33.8228     39.0515     52.8774     -17.4435     -74.098     79.1475     109.814
-3.75989     -12.8936     11.1928     17.4832     -5.80958     -29.9686     27.8943     41.3517
-19.8805     24.1342     43.7184     53.7495     -17.5796     22.6124     36.0068     46.012
-37.9721     6.3742     -97.3118     104.652     -57.2984     14.0709     -143.79     155.424
-7.47561     68.0836     -91.2107     114.064     32.1192     7.28199     -57.675     66.4159
-14.1981     -10.9275     -10.3597     20.6964     -9.09122     57.2357     -20.7512     61.5564
-17.3719     -2.7279     41.79     45.339     -65.3604     -11.9002     175.172     187.347
17.323     -29.0041     -563.39     564.402     11.3292     4.53763     -138.52     139.057
36.2338     18.8644     79.3246     89.2253     -8.08694     13.2695     9.4872     18.2067
47.3153     16.9143     12.3135     51.7345     17.5878     6.02868     4.42829     19.1124
8.59703     -11.2277     24.3291     28.1403     59.3731     20.936     274.662     281.785
-3.86439     10.8026     56.7337     57.8843     -7.27074     20.6524     107.269     109.481
-42.6382     -54.8182     -181.906     194.713     -8.43456     -10.3423     -36.1319     38.521
34.7839     -5.82076     34.07     49.0364     11.6072     -1.56212     13.0125     17.5069
-12.3277     39.0365     -125.483     131.992     -3.02656     13.2765     -38.1051     40.4651
-10.9049     -42.1312     236.293     240.268     -1.86192     -10.5794     6.84367     12.7376
10.2721     1.625     -1.03464     10.4629     3.57037     13.4986     14.8057     20.3572
42.6654     46.7515     -3.26905     63.3777     -20.6801     13.0941     -18.3922     30.6169
11.9438     -18.7171     -121.716     123.725     1.35951     -20.7043     -588.432     588.798
17.8036     8.16646     57.7527     60.984     25.3638     11.6788     90.6881     94.8896
8.31081     -64.4906     107.47     125.61     0.0132922     -9.44111     15.306     17.9835
-7.57594     -19.2837     -4.00689     21.1024     -3.89758     -10.4642     -1.66999     11.3014
23.7479     -15.2867     148.088     150.757     5.82047     10.5488     53.0693     54.4198
-7.32529     3.50077     4.20282     9.14215     -25.4924     13.2456     11.6061     30.984
-42.3669     7.45569     -21.5185     48.0998     -21.2821     5.04189     -9.88871     24.0212
-11.146     -4.0042     -43.2005     44.7948     -21.0604     46.7632     -192.214     198.938
-15.349     -8.09269     104.012     105.449     -14.0507     -7.44546     95.0489     96.37
-19.3567     40.2039     -98.8202     108.427     -6.45639     13.9495     -34.8917     38.1307
-16.7009     -31.0465     68.3145     76.8746     -8.58051     -15.1528     34.5537     38.705
17.0274     45.8322     -144.308     152.366     23.2969     69.208     -198.819     211.806
-22.71     18.6013     -16.141     33.5041     -20.8022     17.3626     -15.3419     31.1378
-0.938053     38.8158     -248.542     251.557     -2.51041     17.5688     -114.977     116.338
-4.46019     30.2145     34.4673     46.0522     -2.89359     52.7542     59.3525     79.4613
-17.0435     -28.9382     2.40375     33.6701     -33.6965     -34.5862     -96.4485     107.861
-19.272     -12.8367     -118.247     120.493     -16.0316     4.99044     -16.2833     23.3894
-23.3203     -0.784946     5.75948     24.0338     -22.8818     45.4558     86.725     100.554
-50.7227     -24.0451     -16.5068     58.5101     -23.8997     -10.886     -8.58491     27.6297
26.8911     17.3267     -13.4792     34.7139     14.6224     7.16109     -5.27839     17.1231
-0.726522     -14.254     7.41522     16.0844     -0.821807     -29.8163     15.4713     33.6049
13.224     -5.37635     16.6958     21.9669     16.0536     -7.30613     20.0902     26.7345
-62.0092     -29.1687     56.537     88.8391     3.85078     -12.0485     21.8175     25.2194
-28.5566     32.1642     10.243     44.2148     -19.1118     21.1756     7.3745     29.4627
4.02734     -18.8856     -22.9136     29.9656     14.8293     -54.1215     -66.458     86.9812
33.3288     -7.1269     77.1286     84.3233     -1.24475     -26.1696     21.1336     33.6605
