px(1, true)   py(1, true)   pz(1, true)   E(1, true)  px(2, true)   py(2, true)   pz(2, true)   E(2, true)   px(1)   py(1)   pz(1)   E(1)  px(2)   py(2)   pz(2)   E(2)
-452.242     -983.817     865.939     1386.47     -74.6912     -109.82     158.902     207.153     -450.512     -982.793     864.841     1384.48     -74.6007     -110.765     159.639     208.131
964.809     -0.279882     574.737     1123.03     252.182     32.5378     90.7547     270.026     252.452     32.4864     90.681     270.205     963.963     -0.785863     572.605     1121.21
89.8191     -99.4218     -68.2243     150.432     677.402     -830.315     -179.907     1086.59     675.429     -828.999     -178.889     1084.18     91.7368     -101.246     -68.7378     152.942
-1050.49     -489.299     285.251     1193.46     -39.914     -19.7334     38.2438     58.8911     -39.3123     -19.0336     38.2903     58.0851     -1052.06     -488.929     287.14     1195.13
715.336     110.676     -1456.2     1626.19     496.221     -25.0475     -953.927     1075.58     498.057     -24.7767     -956.678     1078.85     713.655     110.49     -1455.12     1624.47
381.425     -124.627     282.67     490.859     804.235     -82.7382     520.522     961.564     286.663     -91.3287     211.446     367.731     754.462     -76.0534     489.421     902.513
313.193     425.829     -438.987     687.134     510.085     455.791     -576.535     894.622     316.072     428.434     -442.285     692.151     501.848     448.832     -566.493     879.895
-7.00886     410.065     500.089     646.772     -131.74     787.86     1187.47     1431.15     -7.28942     406.346     495.569     640.905     -131.376     792.215     1194.41     1439.27
-880.487     -739.483     1422.39     1829.02     -67.3045     -22.2545     65.9102     96.9141     -661.817     -555.907     1067.99     1373.91     -69.2006     -23.5847     69.2464     100.698
453.196     911.33     1108.09     1504.59     78.7392     184.156     145.555     247.634     453.803     913.549     1111.96     1508.96     78.0175     182.578     144.081     245.317
330.448     -731.624     -36.0428     803.612     85.1775     -402.998     -9.35107     412.035     330.61     -729.618     -35.8323     801.829     86.3682     -405.403     -9.43591     414.608
-203.675     -340.672     423.704     580.594     -496.299     -644.572     1104.64     1371.88     -499.245     -648.929     1108.22     1377.87     -153.901     -254.205     317.81     435.097
307.111     -321.078     -199.282     486.975     581.265     -510.86     -188.242     796.433     309.894     -323.544     -200.473     490.82     579.558     -508.721     -187.446     793.612
668.106     891.064     613.311     1271.43     52.6907     79.927     98.0865     137.145     671.043     892.299     615.49     1274.88     51.9109     78.9975     96.6045     135.158
-442.533     -1069.39     106.508     1162.24     -26.9331     -45.1153     31.2735     61.334     -24.0905     -41.3582     27.4744     55.1878     -425.144     -1025.96     102.238     1115.26
-106.572     -1131.44     -220.939     1157.74     9.11645     -70.1013     -42.1439     82.4406     -105.894     -1135.86     -221.278     1162.04     8.9946     -66.8254     -40.7963     78.8091
-728.054     -133.914     223.793     773.37     -462.825     -70.3519     41.668     470.017     -727.819     -133.776     223.404     772.998     -462.656     -70.5353     41.6928     469.855
761.013     -360.723     -1357.72     1597.71     372.168     -84.1667     -614.041     722.955     762.619     -360.004     -1361.17     1601.24     369.769     -83.4943     -611.271     719.272
721.769     -724.28     -254.037     1053.61     174.064     -98.0666     -56.2461     207.61     722.371     -725.171     -254.584     1054.75     174.431     -98.5839     -56.5958     208.202
122.526     -130.126     48.2184     185.185     486.031     -905.778     147.136     1038.43     121.355     -128.736     47.2537     183.12     486.836     -907.564     148.547     1040.55
698.205     -212.134     903.589     1161.46     430.184     -229.879     548.45     733.977     700.633     -213.817     905.494     1164.7     427.206     -228.494     544.806     729.06
-564.795     393.415     -446.076     820.229     -484.369     226.061     -276.483     601.817     -558.989     390.504     -441.178     812.158     -454.513     212.706     -260.973     565.626
360.683     942.038     692.068     1223.32     27.6563     206.857     109.163     235.572     361.473     942.897     692.741     1224.58     27.6938     206.247     109.126     234.975
508.866     -416.848     -413.544     777.013     494.858     -267.7     -405.42     693.496     510.986     -417.649     -414.647     779.404     442.371     -238.277     -360.794     618.579
232.493     -160.468     84.876     295.008     763.143     -524.809     49.3964     927.51     230.46     -159.335     84.5528     292.657     764.027     -526.754     49.8558     929.35
257.758     -86.8652     107.686     292.582     856.534     -365.337     615.374     1116.17     854.374     -363.928     613.012     1112.74     259.586     -88.2735     108.668     294.934
-314.859     -918.665     -104.152     976.705     -87.5291     -232.167     -90.7597     264.241     -87.5994     -234.039     -90.6867     265.842     -307.833     -898.415     -102.774     955.234
793.567     -337.975     543.437     1019.47     297.238     -192.873     286.331     455.587     297.972     -192.785     286.254     455.955     795.487     -338.18     543.498     1021.06
-634.791     864.835     -533.321     1198.06     -77.8583     106.948     -20.0596     133.885     -77.8595     106.907     -20.174     133.784     -635.715     863.64     -534.244     1198.09
191.634     -795.65     -110.9     825.896     117.146     -373.365     -137.376     414.752     192.031     -799.763     -111.38     830.001     116.105     -371.836     -136.343     412.713
527.251     -465.929     398.545     808.668     411.237     -286.251     186.905     534.801     412.345     -288.181     186.864     536.652     525.762     -465.14     396.938     806.437
-875.157     6.61097     -639.979     1084.22     -337.114     8.5686     -156.953     371.99     -339.215     8.68439     -158.25     374.413     -872.614     6.23071     -638.69     1081.4
532.342     231.057     -354.371     679.983     625.249     139.069     -336.262     723.444     549.294     122.527     -294.103     635.007     538.426     233.029     -356.831     686.683
-743.686     50.6415     551.359     927.175     -449.164     122.01     390.104     607.321     -639.169     44.0571     473.25     796.519     -418.696     113.233     364.15     566.333
-489.158     -1007.52     -177.276     1133.94     -65.4585     -65.6756     3.48468     92.9155     -460.387     -946.128     -166.074     1065.22     -65.3975     -66.9762     3.84394     93.6879
-135.979     48.3188     -76.613     163.455     -1019.91     308.538     -211.121     1086.28     -131.534     45.8991     -73.1444     157.347     -1018.66     307.46     -208.757     1084.33
-442.486     -976.406     1370.1     1739.65     -24.6422     -144.394     233.553     275.73     -442.907     -979.338     1372.63     1743.38     -24.0205     -142.907     230.572     272.328
202.741     376.646     -378.707     571.321     268.98     743.38     -874.013     1178.51     202.397     377.108     -378.551     571.381     269.327     744.929     -874.861     1180.19
338.029     480.9     360.357     689.499     365.019     493.903     235.27     657.689     299.359     424.164     319.802     609.758     363.427     491.741     235.529     655.257
-391.01     224.795     -172.573     482.935     -710.626     271.427     -411.501     864.88     -397.409     227.028     -175.382     490.137     -668.932     254.19     -387.137     813.608
-375.809     -118.44     16.1957     394.393     -798.871     -173.891     198.537     841.352     -378.464     -118.972     16.6973     397.074     -797.059     -173.357     197.172     839.186
-74.5735     1011.28     829.575     1310.14     -63.8575     181.653     133.887     234.573     -74.4951     1009     827.876     1307.29     -63.9013     183.856     135.677     237.264
424.351     -101.145     -445.608     623.613     701.23     -337.07     -784.809     1105.12     704.022     -339.052     -789.678     1110.94     420.567     -100.719     -441.863     618.275
-157.195     930.08     224.905     969.724     -94.8663     247.547     105.078     285.208     -95.0243     247.872     105.472     285.648     -148.658     883.597     214.479     921.327
373.023     -788.912     -161.519     887.49     199.939     -263.985     -97.2805     345.182     374.163     -789.949     -161.911     888.95     198.824     -262.654     -96.6155     343.297
