px(Higgs)  py(Higgs)  pz(Higgs)  energ(Higgs)  masa(Higgs)  px(cest_1)  py(cest_1)  pz(cest_1)  energ(cest_1)  masa(cest_1)  px(cest_2)  py(cest_2)  pz(cest_2)  energ(cest_2)  masa(cest_2)
-107.384     -12.4454     -285.63     321.361     100.01     -29.1829     7.36103     -204.824     207.079     4.8     -78.2009     -19.8064     -80.8063     114.282     4.8
-98.3336     55.6139     318.648     352.56     100     -102.053     39.5187     316.865     335.265     4.8     3.71983     16.0952     1.78286     17.2948     4.8
96.0495     -70.6752     -137.148     207.437     100     19.0264     -10.3067     14.7905     26.6464     4.8     77.0231     -60.3684     -151.938     180.791     4.8
98.1521     -60.8706     -427.855     454.311     100     32.836     -74.6592     -181.769     199.287     4.8     65.316     13.7887     -246.086     255.024     4.8
-85.0074     -66.2154     186.881     237.772     100     -10.8763     -17.9779     131.62     133.373     4.8     -74.1311     -48.2375     55.2617     104.399     4.8
48.2837     106.866     360.758     392.297     99.9951     24.218     67.2734     78.7765     106.494     4.8     24.0657     39.5925     281.982     285.803     4.8
-1.05552     -119.181     119.465     196.156     99.9997     -29.5852     -109.766     120.476     165.715     4.8     28.5297     -9.41551     -1.01121     30.4411     4.8
19.8577     -106.816     164.697     221.199     99.9997     -22.0798     -98.295     91.0032     135.846     4.8     41.9376     -8.52083     73.6941     85.3535     4.8
-111.337     9.39314     -431.592     456.898     100.001     13.275     9.76311     -17.8158     24.7384     4.8     -124.612     -0.369979     -413.777     432.16     4.8
-43.4065     102.557     327.327     359.923     99.9993     -55.3634     67.7624     116.096     145.459     4.8     11.9569     34.7941     211.231     214.465     4.8
-96.8776     54.2628     -409.239     435.668     100.001     13.9021     30.9488     -126.795     131.343     4.8     -110.78     23.314     -282.445     304.325     4.8
50.8106     101.497     -226.707     272.541     99.9964     -8.99753     88.3138     -118.909     148.468     4.8     59.8082     13.1837     -107.797     124.073     4.8
-69.6654     93.1524     -1195.22     1205.03     100.005     -71.9763     95.4954     -728.308     738.076     4.8     2.31091     -2.34305     -466.913     466.949     4.8
75.0381     -76.039     261.712     299.842     99.9992     3.21347     -9.18294     -7.55071     13.2176     4.8     71.8247     -66.856     269.262     286.625     4.8
-39.8474     94.0429     -63.0389     156.224     100     -23.3844     -17.0908     -21.3269     36.2878     4.8     -16.463     111.134     -41.712     119.936     4.8
-119.96     -7.83775     385.938     416.413     99.9992     12.8435     15.4503     38.3444     43.5545     4.8     -132.803     -23.288     347.594     372.858     4.8
107.885     -35.9699     -2075.75     2081.27     100.004     37.8821     -62.5211     -1237.4     1239.57     4.8     70.0024     26.5512     -838.352     841.702     4.8
64.897     76.653     206.505     250.464     100.002     84.5364     43.3706     179.252     202.933     4.8     -19.6393     33.2824     27.2529     47.5309     4.8
97.3929     28.466     57.8855     153.791     100.027     -12.5368     -10.5718     28.7699     33.4616     4.8     109.93     39.0378     29.1156     120.33     4.8
118.159     -2.74103     508.856     531.887     99.9997     93.8332     32.5197     436.359     447.543     4.8     24.3261     -35.2607     72.4973     84.3443     4.8
-19.7322     110.181     1138.13     1147.99     99.9948     12.1413     19.7664     654.08     654.509     4.8     -31.8735     90.4141     484.053     493.479     4.8
73.4228     71.4286     -226.614     268.042     100     -5.18395     14.6196     4.92356     16.9672     4.8     78.6068     56.809     -231.537     251.075     4.8
-89.0666     -57.3715     -474.015     495.898     99.9984     -63.4838     -81.1292     -273.251     292.064     4.8     -25.5828     23.7577     -200.764     203.834     4.8
109.419     12.8188     94.7547     176.394     99.9982     8.43105     28.9712     -7.74563     31.519     4.8     100.988     -16.1525     102.5     144.875     4.8
-90.5218     59.8547     -62.569     160.289     100.005     -68.8867     30.6463     12.6591     76.602     4.8     -21.6351     29.2084     -75.2281     83.687     4.8
110.465     40.5264     765.166     780.592     100.003     7.31756     -24.076     64.1925     69.1152     4.8     103.147     64.6024     700.973     711.477     4.8
