px(1, true)   py(1, true)   pz(1, true)   E(1, true)  px(2, true)   py(2, true)   pz(2, true)   E(2, true)   px(1)   py(1)   pz(1)   E(1)  px(2)   py(2)   pz(2)   E(2)
-372.754     -818.46     757.51     1175.87     -66.6894     -93.1452     152.795     191.031     -65.689     -92.1351     150.317     188.335     -373.864     -819.617     760.401     1179.04
-510.541     -152.749     -387.803     659.089     -458.902     -136.388     -211.802     523.522     -501.328     -149.749     -380.805     647.148     -468.115     -139.388     -218.801     535.464
-396.377     -650.875     -72.345     765.513     -91.5819     -241.399     -80.3205     270.435     -394.007     -647.814     -72.4428     761.743     -93.9523     -244.461     -80.2226     274.205
-879.997     -410.015     220.089     995.474     -29.0619     -14.6829     33.5158     46.9737     -30.4922     -15.0326     33.6307     48.2396     -878.889     -409.875     220.484     994.662
599.149     102.496     -1352.51     1482.83     413.207     -30.8936     -873.685     966.976     416.855     -30.1984     -880.288     974.519     595.501     101.801     -1345.9     1475.29
-345.058     -553.297     -11.8504     652.201     -195.455     -305.226     86.7657     372.716     -194.804     -305.068     85.9911     372.149     -268.065     -430.779     -9.52099     507.576
278.807     387.884     90.8721     486.28     410.087     347.449     85.6139     544.283     248.678     213.81     52.0208     332.205     141.359     195.239     46.0118     245.507
1.34647     338.077     429.364     546.511     -117.034     661.24     1076.16     1268.5     0.362616     343.786     438.925     557.665     -116.05     655.531     1066.6     1257.34
-269.27     -146.871     206.307     369.68     -528.199     -463.808     607.689     929.204     -266.273     -145.157     204.195     365.682     -531.196     -465.522     609.801     933.203
-347.217     583.519     -733.697     999.694     -246.179     242.779     -391.02     521.982     -346.653     582.228     -733.121     998.406     -246.93     244.466     -392.245     524.066
-143.107     -38.0327     147.519     209.072     -847.562     -147.137     490.521     990.275     -145.07     -38.8339     147.798     210.845     -845.599     -146.335     490.242     988.501
488.509     -232.658     -1178.36     1296.66     470.676     -100.598     -967.828     1080.91     393.114     -187.53     -946.004     1041.55     469.326     -100.99     -965.442     1078.25
-150.555     -100.955     24.3807     182.965     -527.564     -637.242     -7.2807     827.331     -151.584     -102.758     24.417     184.972     -524.084     -632.686     -7.18497     821.636
-279.499     827.288     159.89     887.757     -74.1834     123.593     -13.5569     144.863     -72.2483     120.806     -13.2381     141.503     -281.589     830.564     159.696     891.663
-83.9101     -162.131     58.923     191.892     -441.134     -699.71     550.944     993.859     -84.549     -162.78     59.7693     193.081     -440.495     -699.061     550.098     992.67
-631.723     343.611     65.0938     722.083     -294.196     69.1502     21.6455     303.026     -633.103     343.466     65.1964     723.329     -292.816     69.2967     21.5421     301.778
87.7625     -43.4394     -27.6567     101.868     906.526     -131.806     -526.571     1056.63     87.3392     -43.1573     -28.5766     101.803     685.037     -100.451     -397.105     798.272
391.137     -215.128     759.379     880.879     553.208     -154.767     1081.86     1224.92     388.93     -213.093     754.08     874.865     555.414     -156.802     1087.16     1230.94
69.9316     -102.761     -12.313     125     218.649     -859.8     36.1412     887.915     70.4905     -106.213     -11.7511     128.352     217.988     -856.28     35.4989     884.36
108.885     -106.89     48.7981     160.268     398.427     -756.575     139.687     866.421     108.279     -106.57     48.0398     159.439     399.097     -756.971     140.485     867.358
-381.93     -399.821     360.356     660.005     -316.681     -317.352     435.813     625.264     -316.04     -316.16     434.493     623.482     -275.509     -289.934     261.082     477.668
-729.92     -214.729     -561.607     945.684     -234.208     -104.932     -115.76     281.581     -196.984     -87.8924     -97.9831     237.024     -731.727     -215.62     -562.097     947.649
474.28     144.831     62.0597     499.792     519.887     28.889     39.3429     522.196     520.698     29.3746     39.4662     523.059     473.447     144.312     61.9199     498.885
-265.96     380.565     713.429     851.216     -406.855     363.793     752.122     929.294     -280.128     249.077     517.094     638.725     -201.415     285.498     540.136     643.372
-475.635     15.7073     573.739     745.436     -521.313     60.9152     455.681     695.087     -408.196     46.7548     357.929     544.994     -469.248     15.7462     566.511     735.838
216.095     -69.9779     83.6597     242.107     712.841     -307.104     532.052     941.04     214.1     -69.1228     83.6143     240.248     714.88     -307.979     532.13     943.051
-71.8281     -249.666     53.6588     265.32     -265.122     -713.052     374.133     847.781     -68.9355     -239.942     51.9481     255.052     -266.104     -716.361     374.71     851.26
-121.799     -493.206     -343.906     613.499     -96.7851     -494.599     -499.116     709.32     -103.169     -419.434     -293.156     522.06     -97.8898     -499.859     -501.928     715.323
-402.748     -698.941     -78.7258     810.522     -66.6021     -199.083     -69.2513     221.108     -401.223     -696.068     -78.5865     807.301     -68.1268     -201.957     -69.3906     224.328
-236.805     -267.704     -156.227     390.092     -297.593     -584.426     -322.35     730.786     -292.619     -573.397     -316.536     717.44     -236.862     -268.835     -156.718     391.171
-93.6732     -394.021     182.782     444.365     -130.862     -595.788     452.587     759.57     -69.7967     -298.786     139.954     337.301     -131.745     -601.004     454.725     765.204
435.723     -392.436     347.526     681.658     346.823     -234.537     150.865     445.058     430.686     -387.815     343.485     673.753     351.86     -239.158     154.906     452.964
