px(1, true)   py(1, true)   pz(1, true)   E(1, true)  px(2, true)   py(2, true)   pz(2, true)   E(2, true)   px(1)   py(1)   pz(1)   E(1)  px(2)   py(2)   pz(2)   E(2)
-372.754     -818.46     757.51     1175.87     -66.6894     -93.1452     152.795     191.031     -64.1246     -89.7153     147.05     183.962     -375.429     -822.036     763.667     1183.41
-879.997     -410.015     220.089     995.474     -29.0619     -14.6829     33.5158     46.9737     -29.49     -14.6167     32.5594     46.6787     -878.889     -409.875     220.484     994.662
-143.107     -38.0327     147.519     209.072     -847.562     -147.137     490.521     990.275     -125.295     -33.2112     129.472     183.273     -863.832     -152.049     507.259     1014.01
-150.555     -100.955     24.3807     182.965     -527.564     -637.242     -7.2807     827.331     -122.289     -80.7618     20.563     148.075     -553.379     -654.682     -3.33098     858.533
-279.499     827.288     159.89     887.757     -74.1834     123.593     -13.5569     144.863     -70.8363     118.314     -13.1047     138.636     -282.791     832.649     159.345     894.005
87.7625     -43.4394     -27.6567     101.868     906.526     -131.806     -526.571     1056.63     86.9655     -43.0033     -28.5352     101.35     684.56     -100.492     -397.026     797.795
69.9316     -102.761     -12.313     125     218.649     -859.8     36.1412     887.915     68.2889     -101.916     -11.7116     123.511     220.189     -860.578     35.4594     889.201
108.885     -106.89     48.7981     160.268     398.427     -756.575     139.687     866.421     108.279     -106.57     48.0398     159.439     398.458     -755.791     139.834     865.859
-405.927     -846.565     -178.579     955.7     -56.8648     -49.0548     2.47598     75.2938     -55.5817     -48.4239     2.28609     74.0111     -383.324     -797.053     -168.584     900.521
534.365     734.964     -406.841     995.621     27.6968     108.179     -37.7643     117.979     27.6867     105.988     -37.1749     115.867     534.335     736.97     -407.293     997.498
435.229     771.794     -1049.84     1373.78     23.288     132.91     -186.392     230.157     23.0956     130.896     -183.197     226.409     402.17     715.449     -973.703     1273.58
-57.5466     864.394     1185.26     1468.11     -57.8519     129.869     183.341     232.055     -56.6512     128.431     181.494     229.496     -58.6397     865.681     1186.55     1470.1
-91.2541     152.235     158.153     237.778     -289.587     774.398     462.678     947.443     -82.6326     136.806     142.782     214.37     -212.297     561.134     342.484     691.46
162.016     -27.6402     50.9754     172.148     813.913     -222.92     560.314     1012.98     147.448     -24.8837     46.2799     156.654     828.474     -225.681     565.009     1028.46
-35.0115     109.36     -234.867     261.479     -369.796     812.214     -1185.68     1484.02     -31.689     100.867     -216.195     240.749     -372.971     819.433     -1202.65     1502.61
-43.4731     63.4406     -25.3426     81.1166     -289.532     879.745     -689.522     1154.66     -43.3032     64.4415     -26.4925     82.2551     -258.805     785.717     -615.495     1031.37
-36.201     -36.3073     44.4679     68.038     -220.59     -951.347     895.821     1325.23     -34.4691     -36.2884     44.7809     67.5114     -220.431     -949.234     893.714     1322.28
61.8384     98.4383     -124.077     170.095     211.811     871.367     -1256.12     1543.37     60.9972     98.0133     -123.308     169.002     208.012     853.716     -1230.27     1511.96
721.606     682.745     -108.734     999.351     24.5332     -0.0255765     -8.56033     26.4234     18.4191     0.472399     -6.90861     19.8987     721.43     682.326     -108.725     999.001
-324.928     -902.679     -872.249     1296.63     -39.2345     -40.0334     -78.0618     96.2222     -37.9566     -40.5461     -74.7784     93.4815     -325.013     -900.551     -871.937     1295.22
-14.7354     -55.5946     25.9634     63.2854     -646.152     -697.117     656.908     1155.44     -9.27896     -38.9504     17.5083     43.8899     -646.757     -699.509     658.24     1158.12
-776.591     -551.64     -269.795     990.057     -31.0679     -61.6429     -18.642     71.6633     -29.174     -58.1606     -17.873     67.5635     -744.131     -529.215     -258.508     949.147
743.52     629.755     8.19153     974.425     14.5206     29.3089     -18.4526     37.8602     14.5618     28.3902     -17.2902     36.6529     741.393     628     8.072     971.811
-253.031     889.1     -365.492     994.048     1.28594     86.7024     -67.0257     109.702     1.18016     82.4465     -63.6956     104.328     -252.615     892.925     -368.379     998.956
-801.584     -94.8898     28.855     807.711     -197.978     38.1015     13.6994     202.133     -170.149     32.6861     11.4366     173.699     -819.578     -91.95     29.8541     825.924
-1.4299     -30.9974     -10.6609     33.1599     434.105     -882.388     146.147     994.202     -1.58189     -29.1312     -9.90662     31.1331     433.301     -882.054     145.331     993.519
47.5776     965.827     -46.3588     968.12     22.1106     42.9972     16.298     51.2475     21.5408     41.8718     15.7389     49.9448     48.3331     966.181     -46.0262     968.587
-155.286     -55.9988     -120.128     204.214     -853.834     -51.0335     -453.39     968.103     -155.982     -55.3294     -119.967     204.545     -597.74     -36.5777     -318.388     678.417
-203.558     -25.605     31.0193     207.549     -733.262     -329.175     56.344     805.746     -114.361     -12.8134     17.4128     116.429     -793.843     -338.583     65.2354     867.668
852.233     315.939     -2126.44     2312.55     90.9671     59.6603     -177.23     208.01     85.2717     56.3459     -166.633     195.56     777.181     289.299     -1937.98     2108.11
86.6251     110.573     6.74689     140.709     699.485     512.561     -156.789     881.251     77.6939     99.4618     6.05008     126.473     708.109     523.598     -156.062     895.141
178.526     2.27052     360.499     402.318     826.973     -173.12     1303.89     1553.71     163.517     2.41433     329.445     367.842     706.712     -144.969     1123.35     1335.46
924.323     -246.445     1033.81     1408.5     49.9282     -6.77667     104.918     116.488     51.0152     -7.7768     103.569     115.928     919.548     -245.257     1029.26     1401.88
28.8446     73.4301     32.1313     85.3197     676.112     653.544     223.954     966.657     12.5754     31.5776     12.9862     36.4875     467.819     455.166     157.349     671.561
-585.061     593.357     -1015.04     1313.28     -119.069     119.588     -306.339     349.779     -104.009     105.642     -271.152     309.041     -599.897     606.876     -1049.59     1353.22
-174.873     13.7367     -178.4     250.238     -839.321     88.308     -1295.12     1545.84     -163.279     13.5661     -166.128     233.441     -850.706     88.4697     -1307.27     1562.39
428.449     -675.795     369.167     881.235     63.1864     -198.152     135.556     248.304     58.8299     -181.738     125.488     228.61     428.547     -677.733     370.178     883.347
653.42     588.375     378.7     957.382     129.852     57.0003     85.0819     165.446     128.082     56.2265     83.4861     163.007     655.115     589.022     380.234     959.661
-778.016     307.961     -530.119     990.554     -162.875     62.697     -184.571     254.065     -102.057     37.7845     -118.121     160.622     -787.416     312.63     -560.948     1018.22
-77.5813     919.648     -460.769     1031.55     -0.16982     90.2428     -5.66608     90.548     -0.631768     89.0463     -5.78261     89.4376     -77.1194     920.845     -460.652     1032.66
65.1928     -170.552     193.93     266.402     85.1396     -834.184     684.815     1082.64     60.4005     -159.012     181.248     248.622     86.3539     -837.106     687.78     1086.95
-13.3325     95.6349     0.652374     96.6812     253.417     876.8     28.0957     913.132     -12.3323     96.1543     0.778297     97.1857     252.345     875.15     27.8451     911.274
680.766     579.231     72.8754     896.819     122.898     43.9192     17.5292     131.769     101.699     35.7035     14.21     108.875     701.637     587.448     76.1707     919.358
-372.169     -808.987     -1685.1     1905.92     -28.473     -116.864     -325.333     346.889     -28.2127     -114.812     -319.153     340.407     -354.871     -772.696     -1611.66     1822.31
29.79     -939.141     97.7338     944.695     -32.9136     -76.833     1.41958     83.7357     -23.9094     -56.039     0.654303     61.1072     28.6939     -941.314     97.8955     947.069
-160.64     -123.259     121.826     236.352     -749.596     -326.122     677.273     1061.59     -157.896     -120.979     119.737     232.23     -752.339     -328.402     679.362     1065.71
7.49867     -27.7267     0.232518     29.1221     -396.915     -911.88     289.447     1035.79     5.7467     -21.5115     0.126225     22.3654     -395.83     -911.14     289.311     1034.89
65.1597     -42.6522     -190.144     205.531     865.744     -367.192     -1429.85     1711.39     62.2746     -40.1884     -179.69     194.491     868.591     -369.608     -1440.16     1722.26
-5.20799     112.409     -49.738     123.125     251.644     872.486     -199.303     929.678     -4.55107     109.356     -48.4841     119.853     250.987     875.539     -200.557     932.95
-94.1573     34.6777     -32.0536     105.445     -911.576     7.47895     -82.2189     915.32     -90.8195     33.0641     -30.9626     101.664     -914.34     8.8919     -82.7925     918.291
