px(1, true)   py(1, true)   pz(1, true)   E(1, true)  px(2, true)   py(2, true)   pz(2, true)   E(2, true)   px(1)   py(1)   pz(1)   E(1)  px(2)   py(2)   pz(2)   E(2)
-29.1829     7.36103     -204.824     207.079     -78.2009     -19.8064     -80.8063     114.282     -0.0242108     0.00500832     28.4949     28.4949     -0.00916176     0.00425349     -0.000280177     0.0101049
-102.053     39.5187     316.865     335.265     3.71983     16.0952     1.78286     17.2948     0.00382785     0.0201526     0.120768     0.122497     -0.00299891     -0.00579532     0.022466     0.0233945
19.0264     -10.3067     14.7905     26.6464     77.0231     -60.3684     -151.938     180.791     -0.0221397     -0.0189435     0.725055     0.738941     0.0104065     0.0205669     -0.383146     0.408426
32.836     -74.6592     -181.769     199.287     65.316     13.7887     -246.086     255.024     -0.0619596     0.0248402     1.71362     1.71492     0.03339     -0.0189851     4.85406     4.85421
-10.8763     -17.9779     131.62     133.373     -74.1311     -48.2375     55.2617     104.399     -0.0289253     0.020044     52.8985     52.8985     0.0174854     0.0227517     0.0323859     0.0432692
24.218     67.2734     78.7765     106.494     24.0657     39.5925     281.982     285.803     0.00907263     0.0124125     0.00479194     0.0161042     -0.00689753     -0.00349856     -0.0304427     0.0314098
-29.5852     -109.766     120.476     165.715     28.5297     -9.41551     -1.01121     30.4411     -0.00882949     0.0237429     0.524939     0.52555     -0.0220233     0.00688923     -0.0401914     0.0463448
-22.0798     -98.295     91.0032     135.846     41.9376     -8.52083     73.6941     85.3535     -0.0392014     0.0564545     -0.161191     0.175232     0.0276096     -0.00444292     -34.1694     34.1694
13.275     9.76311     -17.8158     24.7384     -124.612     -0.369979     -413.777     432.16     -0.0230184     -0.03635     -0.423806     0.425985     -0.00793408     0.00560782     2.01467     2.01469
-55.3634     67.7624     116.096     145.459     11.9569     34.7941     211.231     214.465     -0.0276857     0.0144127     -341.381     341.381     -0.00673293     -0.0287954     2.34959     2.34977
13.9021     30.9488     -126.795     131.343     -110.78     23.314     -282.445     304.325     0.0162134     0.00647602     -0.630995     0.631236     -0.00224862     -0.00862816     -0.00607625     0.0107899
-8.99753     88.3138     -118.909     148.468     59.8082     13.1837     -107.797     124.073     0.0212414     -0.00607417     0.0234942     0.0322502     0.00310701     -0.00182822     0.0172404     0.0176133
-71.9763     95.4954     -728.308     738.076     2.31091     -2.34305     -466.913     466.949     -0.0179145     0.0085594     11.78     11.78     -0.00911501     0.00827924     -4.5384     4.53841
3.21347     -9.18294     -7.55071     13.2176     71.8247     -66.856     269.262     286.625     0.0206445     -0.0220256     14.2788     14.2789     -0.0216678     -0.0178315     -0.03968     0.0486
-23.3844     -17.0908     -21.3269     36.2878     -16.463     111.134     -41.712     119.936     0.0170896     0.016477     0.239277     0.240452     0.000409738     0.0111968     189.713     189.713
12.8435     15.4503     38.3444     43.5545     -132.803     -23.288     347.594     372.858     -0.0156888     0.0088675     -0.166121     0.167095     0.00236333     -0.0155407     -0.0379628     0.0410887
37.8821     -62.5211     -1237.4     1239.57     70.0024     26.5512     -838.352     841.702     0.0121121     0.00207751     0.156673     0.157155     0.00605529     -0.00559168     2.74381     2.74382
84.5364     43.3706     179.252     202.933     -19.6393     33.2824     27.2529     47.5309     -0.0502871     0.0432257     0.0852831     0.10803     -0.0336745     -0.0268949     0.822815     0.823943
-12.5368     -10.5718     28.7699     33.4616     109.93     39.0378     29.1156     120.33     0.0214601     0.0173347     0.0210999     0.0347308     0.00202471     -0.00296565     8.15953     8.15954
