px(1, true)   py(1, true)   pz(1, true)   E(1, true)  px(2, true)   py(2, true)   pz(2, true)   E(2, true)   px(1)   py(1)   pz(1)   E(1)  px(2)   py(2)   pz(2)   E(2)
-29.1829     7.36103     -204.824     207.079     -78.2009     -19.8064     -80.8063     114.282     -9.81517     2.65389     -56.1849     57.0996     -30.8076     -8.22014     -31.6091     44.8979
-102.053     39.5187     316.865     335.265     3.71983     16.0952     1.78286     17.2948     -15.5197     5.70966     49.0253     51.7477     -54.8992     21.0822     167.761     177.77
19.0264     -10.3067     14.7905     26.6464     77.0231     -60.3684     -151.938     180.791     8.43875     -6.37906     -17.1979     20.197     24.2897     -19.4082     -47.4327     56.7144
32.836     -74.6592     -181.769     199.287     65.316     13.7887     -246.086     255.024     31.5831     7.06928     -117.369     121.749     4.45349     -9.93261     -23.0246     25.4729
-10.8763     -17.9779     131.62     133.373     -74.1311     -48.2375     55.2617     104.399     -9.67034     -5.87515     7.57306     13.6156     -9.99245     -5.92544     7.63068     13.8999
24.218     67.2734     78.7765     106.494     24.0657     39.5925     281.982     285.803     8.6998     25.4953     31.0029     41.0716     8.7821     14.3725     100.811     102.208
-29.5852     -109.766     120.476     165.715     28.5297     -9.41551     -1.01121     30.4411     -11.27     -33.8228     39.0515     52.8774     -17.4435     -74.098     79.1475     109.814
-22.0798     -98.295     91.0032     135.846     41.9376     -8.52083     73.6941     85.3535     -3.75989     -12.8936     11.1928     17.4832     -5.80958     -29.9686     27.8943     41.3517
13.275     9.76311     -17.8158     24.7384     -124.612     -0.369979     -413.777     432.16     -56.4747     -0.514768     -182.965     191.483     -28.2655     0.368078     -93.3168     97.5045
-55.3634     67.7624     116.096     145.459     11.9569     34.7941     211.231     214.465     -19.8805     24.1342     43.7184     53.7495     -17.5796     22.6124     36.0068     46.012
13.9021     30.9488     -126.795     131.343     -110.78     23.314     -282.445     304.325     -37.9721     6.3742     -97.3118     104.652     -57.2984     14.0709     -143.79     155.424
-8.99753     88.3138     -118.909     148.468     59.8082     13.1837     -107.797     124.073     -7.47561     68.0836     -91.2107     114.064     32.1192     7.28199     -57.675     66.4159
-71.9763     95.4954     -728.308     738.076     2.31091     -2.34305     -466.913     466.949     -22.2961     30.4235     -225.751     228.88     -42.2431     54.3378     -425.172     430.707
3.21347     -9.18294     -7.55071     13.2176     71.8247     -66.856     269.262     286.625     9.98833     -8.31624     36.094     38.3628     21.2689     -20.5385     81.6027     86.7954
-23.3844     -17.0908     -21.3269     36.2878     -16.463     111.134     -41.712     119.936     -14.1981     -10.9275     -10.3597     20.6964     -9.09122     57.2357     -20.7512     61.5564
12.8435     15.4503     38.3444     43.5545     -132.803     -23.288     347.594     372.858     -17.3719     -2.7279     41.79     45.339     -65.3604     -11.9002     175.172     187.347
37.8821     -62.5211     -1237.4     1239.57     70.0024     26.5512     -838.352     841.702     17.323     -29.0041     -563.39     564.402     11.3292     4.53763     -138.52     139.057
84.5364     43.3706     179.252     202.933     -19.6393     33.2824     27.2529     47.5309     36.2338     18.8644     79.3246     89.2253     -8.08694     13.2695     9.4872     18.2067
-12.5368     -10.5718     28.7699     33.4616     109.93     39.0378     29.1156     120.33     47.3153     16.9143     12.3135     51.7345     17.5878     6.02868     4.42829     19.1124
93.8332     32.5197     436.359     447.543     24.3261     -35.2607     72.4973     84.3443     8.59703     -11.2277     24.3291     28.1403     59.3731     20.936     274.662     281.785
12.1413     19.7664     654.08     654.509     -31.8735     90.4141     484.053     493.479     -3.86439     10.8026     56.7337     57.8843     -7.27074     20.6524     107.269     109.481
-5.18395     14.6196     4.92356     16.9672     78.6068     56.809     -231.537     251.075     18.6721     15.2782     -58.3459     63.1373     24.3834     16.3421     -69.2477     75.2121
-63.4838     -81.1292     -273.251     292.064     -25.5828     23.7577     -200.764     203.834     -42.6382     -54.8182     -181.906     194.713     -8.43456     -10.3423     -36.1319     38.521
8.43105     28.9712     -7.74563     31.519     100.988     -16.1525     102.5     144.875     34.7839     -5.82076     34.07     49.0364     11.6072     -1.56212     13.0125     17.5069
92.7663     12.0972     -137.516     166.39     9.27294     -0.78116     17.5996     20.4788     28.5564     3.22027     -41.3943     50.392     14.497     1.51581     -22.6556     26.9399
-27.5156     92.7717     -293.548     309.123     -40.8514     -1.83523     -330.028     332.586     -12.3277     39.0365     -125.483     131.992     -3.02656     13.2765     -38.1051     40.4651
102.942     6.09996     542.065     551.807     -4.10846     12.4916     7.74302     15.9973     57.0044     2.70988     304.686     309.985     11.7291     0.360778     57.3882     58.5756
-20.3923     -80.6931     455.849     463.41     -5.02073     -27.2606     17.962     33.377     -10.9049     -42.1312     236.293     240.268     -1.86192     -10.5794     6.84367     12.7376
10.382     50.9955     52.3903     74.0008     79.027     9.28742     -6.71353     79.9977     10.2721     1.625     -1.03464     10.4629     3.57037     13.4986     14.8057     20.3572
71.6969     -71.3614     27.2308     104.869     1.17307     -4.0303     68.5145     68.8106     7.88507     -8.22008     3.15109     11.8192     12.7971     -14.4137     5.34652     20.0087
-107.623     52.3873     981.59     988.872     -3.26319     -17.8557     560.506     560.82     -34.7173     17.1756     319.659     321.998     -17.7814     8.17001     156.907     158.124
-29.8439     19.6871     -27.4049     45.3024     67.7925     73.6624     -5.19824     100.36     42.6654     46.7515     -3.26905     63.3777     -20.6801     13.0941     -18.3922     30.6169
34.5635     -55.6248     -365.655     371.504     2.37264     -40.602     -1206.91     1207.61     11.9438     -18.7171     -121.716     123.725     1.35951     -20.7043     -588.432     588.798
-9.73567     20.3513     296.676     297.572     92.2668     43.9243     324.725     340.458     17.8036     8.16646     57.7527     60.984     25.3638     11.6788     90.6881     94.8896
8.53861     10.663     9.23168     17.1718     90.2707     -51.9514     635.757     644.249     43.1092     -25.0544     306.017     310.053     9.07786     -5.74335     64.4566     65.3458
123.928     15.1249     71.6354     144.02     -8.28652     13.2897     52.3698     54.8718     28.5668     3.03591     16.8622     33.3108     48.292     6.52527     29.3556     56.89
-36.566     -3.7348     137.891     142.787     10.9377     -102.635     170.257     199.158     8.31081     -64.4906     107.47     125.61     0.0132922     -9.44111     15.306     17.9835
-0.0255936     -49.5181     92.361     104.908     -21.599     -62.8885     -10.8854     67.55     -7.57594     -19.2837     -4.00689     21.1024     -3.89758     -10.4642     -1.66999     11.3014
79.7258     -51.7066     507.426     516.27     23.7138     41.8005     205.913     211.501     23.7479     -15.2867     148.088     150.757     5.82047     10.5488     53.0693     54.4198
30.1569     112.59     -162.161     199.763     -0.514933     -0.193042     13.1747     14.0327     7.94777     23.0221     -32.7457     40.8101     13.822     58.464     -83.7843     103.097
25.3622     -81.7136     -6.80672     85.9636     32.737     -4.43514     -69.712     77.2928     22.1635     -66.2868     -6.49652     70.1952     9.93568     -2.0305     -18.1996     20.8343
-77.9593     41.9258     40.1624     97.3215     8.32709     52.6378     89.0557     103.894     -7.32529     3.50077     4.20282     9.14215     -25.4924     13.2456     11.6061     30.984
-115.995     22.9041     -57.1063     131.391     18.7398     8.67679     -27.7185     34.8973     -42.3669     7.45569     -21.5185     48.0998     -21.2821     5.04189     -9.88871     24.0212
-30.4782     70.2105     -288.313     298.339     -64.8892     -23.3813     -243.433     253.061     -11.146     -4.0042     -43.2005     44.7948     -21.0604     46.7632     -192.214     198.938
-70.1013     -35.0941     491.474     497.711     -30.0784     50.2501     637.867     640.568     -15.349     -8.09269     104.012     105.449     -14.0507     -7.44546     95.0489     96.37
-37.6     -21.3524     -65.4953     78.628     -45.0155     91.8624     -226.103     248.215     -19.3567     40.2039     -98.8202     108.427     -6.45639     13.9495     -34.8917     38.1307
-44.8178     -81.1031     178.571     201.239     5.84522     -29.3809     299.526     301.059     -16.7009     -31.0465     68.3145     76.8746     -8.58051     -15.1528     34.5537     38.705
43.9161     125.47     -373.351     396.34     8.52648     -19.2464     -48.2496     52.8601     17.0274     45.8322     -144.308     152.366     23.2969     69.208     -198.819     211.806
2.41461     -16.6685     9.41759     19.8847     -94.8547     76.992     -70.1982     140.982     -22.71     18.6013     -16.141     33.5041     -20.8022     17.3626     -15.3419     31.1378
43.2905     18.9479     -91.1805     102.811     -3.66512     74.055     -484.887     490.547     -0.938053     38.8158     -248.542     251.557     -2.51041     17.5688     -114.977     116.338
5.03777     -12.4596     -5.76988     15.3933     -10.1197     115.9     132.675     176.525     -4.46019     30.2145     34.4673     46.0522     -2.89359     52.7542     59.3525     79.4613
-48.7669     -48.6211     -139.257     155.428     -25.2082     -40.5569     4.8872     48.2415     -17.0435     -28.9382     2.40375     33.6701     -33.6965     -34.5862     -96.4485     107.861
-75.3081     -49.659     -460.93     469.699     -31.7562     9.92096     -33.3006     47.3166     -19.272     -12.8367     -118.247     120.493     -16.0316     4.99044     -16.2833     23.3894
2.77245     106.184     328.568     345.344     -10.3074     7.1501     334.665     334.935     0.421253     62.7947     191.468     201.503     1.3494     25.0538     81.8671     85.6256
-32.805     71     131.577     153.143     -51.8647     -1.56322     12.4478     53.5759     -23.3203     -0.784946     5.75948     24.0338     -22.8818     45.4558     86.725     100.554
-96.3291     -44.7734     -31.9213     111.022     -7.74763     23.3931     -50.8949     56.7503     -50.7227     -24.0451     -16.5068     58.5101     -23.8997     -10.886     -8.58491     27.6297
7.73254     31.4178     51.8291     61.2875     67.9969     38.0364     -30.2389     83.7125     26.8911     17.3267     -13.4792     34.7139     14.6224     7.16109     -5.27839     17.1231
36.4256     2.79973     55.2431     66.4041     -2.41504     -98.9359     49.8281     110.905     -0.726522     -14.254     7.41522     16.0844     -0.821807     -29.8163     15.4713     33.6049
21.9945     5.5388     -22.8843     32.5755     81.4077     -31.9352     99.4189     132.492     13.224     -5.37635     16.6958     21.9669     16.0536     -7.30613     20.0902     26.7345
-86.6917     -40.1976     78.724     123.902     18.371     -40.2939     78.5293     90.2828     -62.0092     -29.1687     56.537     88.8391     3.85078     -12.0485     21.8175     25.2194
-75.7945     83.0302     27.2141     115.769     25.2518     4.16828     -8.60837     27.4258     -28.5566     32.1642     10.243     44.2148     -19.1118     21.1756     7.3745     29.4627
22.7637     -93.2415     -114.287     149.321     -27.1603     -23.4276     -170.323     174.125     4.02734     -18.8856     -22.9136     29.9656     14.8293     -54.1215     -66.458     86.9812
48.6611     -10.8666     112.861     123.477     -3.72637     -82.9432     65.0092     105.559     33.3288     -7.1269     77.1286     84.3233     -1.24475     -26.1696     21.1336     33.6605
8.02329     -32.8353     -15.0365     37.305     -62.0825     -56.2104     98.8884     129.676     3.15593     -14.6816     -6.54619     16.3824     -29.9075     -27.3698     47.2492     62.2579
-74.3999     -34.6594     -632.006     637.331     -34.3936     17.2943     -67.7807     78.0978     -21.1496     -8.15697     -174.051     175.521     -10.4168     6.44887     -23.4138     26.4254
-47.2255     -91.7873     -230.444     252.553     38.8735     -22.5014     -166.905     172.91     11.1682     -6.26107     -50.0598     51.6713     -34.962     -68.4943     -173.607     189.877
-74.8204     -3.69585     -17.0672     76.981     -31.257     -18.5049     71.2566     80.1247     -39.6946     -0.340219     -10.1793     40.9804     -12.9296     -1.5831     -2.15639     13.2035
18.2434     -12.8452     124.535     126.609     -19.6825     124.199     493.631     509.418     -10.8452     66.601     256.469     265.197     -2.41277     15.3544     65.2423     67.0681
5.20939     -91.7889     391.936     402.603     -6.52928     -14.9864     582.958     583.207     2.08778     -26.8282     114.686     117.8     0.287019     -15.1978     62.8341     64.6484
55.7959     76.5069     204.87     225.746     -41.2552     25.6666     112.991     123.089     20.5243     27.5331     71.7709     79.5637     10.7258     14.886     40.2852     44.2666
82.3496     70.4898     -74.1072     131.397     18.9188     -33.2891     -27.485     47.3767     37.0488     32.5373     -33.3495     59.5271     13.909     11.7486     -12.581     22.1506
-1.51804     44.7344     159.122     165.367     -71.4434     34.2466     65.0904     102.649     -46.651     21.4197     41.8963     66.2602     -1.05046     15.5405     52.9438     55.1874
-25.7717     -24.4086     76.8996     84.8325     91.2086     -53.8127     166.644     197.505     44.2541     -24.3502     80.2616     94.8329     30.1554     -19.7095     55.8178     66.4337
18.0962     88.6443     -382.359     392.946     -40.1635     21.5764     -69.1198     82.9411     8.91825     46.0778     -202.367     207.738     -12.5443     7.25228     -21.9554     26.3225
10.5366     -16.4959     30.6462     36.6792     87.5437     46.6692     -39.4679     106.877     31.3605     16.3204     -15.1458     38.4608     14.4611     8.89691     -6.32181     18.1242
31.8092     0.852784     94.6119     99.935     -10.6571     -100.969     721.283     728.409     -3.93212     -25.5872     190.852     192.599     -2.95709     -38.2642     270.577     273.285
38.975     -60.0841     15.6966     73.475     45.9007     -9.63101     115.346     124.609     26.9608     -43.3542     10.9923     52.2236     13.5839     -2.06142     33.7433     36.4333
-93.9256     53.6011     671.025     679.701     17.9352     15.3845     51.0708     56.4767     -40.7145     22.5316     295.878     299.515     -20.4663     12.5775     142.828     144.834
-67.7276     23.0612     -27.0863     76.6522     -44.3739     -39.1469     -121.618     135.335     -26.3549     -22.9164     -72.2214     80.2226     -38.7544     13.4221     -15.7203     43.9225
4.41374     -4.73809     -9.95171     12.8065     -91.1102     72.2315     165.244     202.107     -15.353     11.418     27.6444     33.6199     -15.0079     13.1306     26.5427     33.1988
-29.2512     -122.906     -89.917     155.144     -11.7749     19.0166     -9.65313     24.8294     -2.4182     -12.058     -8.74601     15.099     -9.31476     -38.1462     -27.4664     47.9197
55.9024     52.3731     -10.276     77.438     -31.2424     50.2278     38.2684     70.6147     17.0251     16.37     -3.47299     23.8724     14.8353     13.3494     -2.25564     20.0848
-63.3836     -62.4393     57.8718     106.247     0.189473     -31.1529     -34.1209     46.4523     -13.1984     -11.8736     11.192     20.9867     -11.952     -12.6476     12.2166     21.2621
35.1344     -89.6993     -622.283     629.714     20.14     1.06234     -727.129     727.424     6.01011     -15.2751     -105.236     106.513     11.3874     -27.6175     -191.991     194.301
0.808014     -34.6893     -130.233     134.862     115.038     7.76687     -224.942     252.816     41.3553     1.75773     -80.9232     90.8951     20.2209     2.37191     -39.3813     44.3328
-49.3724     56.3873     181.81     196.711     -48.8063     2.35171     13.8318     51.0092     -25.9054     0.0275954     6.68763     26.7547     -19.4362     21.1167     69.5444     75.2337
-114.445     45.2968     259.582     287.325     12.1754     -8.41945     103.374     104.538     -50.0446     21.0849     114.999     127.176     -16.882     5.85792     38.3146     42.2768
71.6943     -1.70797     -108.769     130.371     25.8627     -31.5497     12.0063     42.7955     24.6832     -0.801208     -37.1643     44.6217     20.5564     -23.7086     7.6573     32.3001
13.9653     -5.17688     312.528     312.92     -69.298     -99.3925     525.883     539.682     -7.6226     -11.6645     60.8437     62.426     -24.5593     -35.0826     185.345     190.228
5.67434     6.58552     54.5798     55.4758     -42.6219     104.448     16.6495     114.133     -15.4307     36.2443     4.2616     39.6222     -9.72019     26.2782     5.52448     28.5578
35.1964     29.1549     0.194932     45.9551     -69.4925     65.0613     -13.6543     96.2895     -14.935     13.9561     -3.63708     20.7619     -20.5784     17.7689     -2.9798     27.3511
13.241     74.0025     311.278     320.264     31.8476     17.3102     22.9649     43.178     2.40108     11.541     53.1061     54.3987     5.307     30.3937     123.528     127.323
-50.456     -33.6259     98.5734     115.829     37.1513     -66.8751     224.795     237.504     -20.1343     -13.5892     41.7681     48.318     11.77     -21.6414     70.5209     74.7016
44.8069     33.6893     124.395     136.528     -47.7758     78.1125     136.701     164.604     8.73476     5.91521     22.4991     24.8495     -18.5317     30.8575     53.1707     64.2085
-44.9173     -91.2848     22.2042     104.243     41.9773     -17.7293     3.78724     45.9761     -22.1638     -43.5582     11.151     50.1288     -7.16661     -15.5519     2.89559     17.3739
31.8161     22.4083     -20.431     44.2138     53.1318     -98.0393     -85.5951     140.656     30.905     -58.4523     -52.6412     84.5156     15.3533     -28.047     -23.3617     39.5996
-9.68163     -15.7671     30.824     36.2698     -61.1259     98.59     670.772     680.746     -27.9967     45.0271     307.329     311.869     -15.3614     24.5476     170.416     172.858
5.37063     -4.42036     -71.6361     72.1329     72.4211     90.8128     -64.6344     133.013     18.7752     22.6503     -18.6069     34.8104     21.608     28.0207     -18.9562     40.1453
59.9142     2.42435     -32.9564     68.5912     7.05116     86.1692     -90.4864     125.242     3.79472     54.0066     -57.6841     79.1111     11.4052     0.959544     -5.92799     12.8895
-53.1294     44.7597     340.627     347.672     -3.0427     45.8861     44.105     63.8991     -19.8354     17.0291     133.215     135.756     -1.07571     15.3714     15.5157     21.8677
-71.334     -90.6028     74.8624     137.568     31.8631     -17.5092     16.8817     40.3715     -11.9698     -14.3419     11.3672     21.8729     -15.5466     -19.4125     15.0764     29.0833
