px(1, true)   py(1, true)   pz(1, true)   E(1, true)  px(2, true)   py(2, true)   pz(2, true)   E(2, true)   px(1)   py(1)   pz(1)   E(1)  px(2)   py(2)   pz(2)   E(2)
-29.1829     7.36103     -204.824     207.079     -78.2009     -19.8064     -80.8063     114.282     -14.496     3.94971     -83.3224     84.728     -75.6091     -19.5673     -79.3893     111.614
-102.053     39.5187     316.865     335.265     3.71983     16.0952     1.78286     17.2948     1.85938     8.35385     2.59224     8.97386     -99.7018     38.469     309.247     327.259
19.0264     -10.3067     14.7905     26.6464     77.0231     -60.3684     -151.938     180.791     17.4931     -9.28653     12.0617     23.5688     75.056     -58.6289     -147.997     176.111
32.836     -74.6592     -181.769     199.287     65.316     13.7887     -246.086     255.024     64.9906     13.6363     -243.692     252.633     29.2259     -62.6324     -153.564     168.568
-10.8763     -17.9779     131.62     133.373     -74.1311     -48.2375     55.2617     104.399     -8.71288     -14.6114     109.727     111.101     -69.6958     -45.3582     52.6981     98.7666
24.218     67.2734     78.7765     106.494     24.0657     39.5925     281.982     285.803     21.9765     37.1684     262.984     266.534     23.1417     63.5056     73.4474     99.9615
-29.5852     -109.766     120.476     165.715     28.5297     -9.41551     -1.01121     30.4411     25.5203     -7.8154     -0.364556     26.9341     -29.141     -109.293     119.718     164.832
-22.0798     -98.295     91.0032     135.846     41.9376     -8.52083     73.6941     85.3535     41.8952     -9.06554     74.1517     85.935     -21.726     -97.5019     90.2479     134.827
13.275     9.76311     -17.8158     24.7384     -124.612     -0.369979     -413.777     432.16     -95.3493     -0.32046     -309.425     323.828     -27.5214     -0.171668     -99.1718     102.945
-55.3634     67.7624     116.096     145.459     11.9569     34.7941     211.231     214.465     12.2883     33.4059     207.459     210.653     -50.169     61.9888     107.355     133.928
13.9021     30.9488     -126.795     131.343     -110.78     23.314     -282.445     304.325     11.4863     27.1662     -111.855     115.782     -109.591     23.5113     -279.907     301.581
-8.99753     88.3138     -118.909     148.468     59.8082     13.1837     -107.797     124.073     56.9541     12.8502     -102.058     117.674     -9.04701     86.4381     -115.743     144.809
-71.9763     95.4954     -728.308     738.076     2.31091     -2.34305     -466.913     466.949     -15.9083     21.9239     -159.424     161.709     -55.6029     72.1552     -565.84     573.183
3.21347     -9.18294     -7.55071     13.2176     71.8247     -66.856     269.262     286.625     26.3961     -22.3699     95.1471     101.256     36.8306     -37.4278     142.801     152.262
-23.3844     -17.0908     -21.3269     36.2878     -16.463     111.134     -41.712     119.936     -14.1981     -10.9275     -10.3597     20.6964     -16.6034     109.021     -40.69     117.751
12.8435     15.4503     38.3444     43.5545     -132.803     -23.288     347.594     372.858     11.3115     12.7169     33.8896     38.2221     -130.585     -23.2047     341.408     366.359
37.8821     -62.5211     -1237.4     1239.57     70.0024     26.5512     -838.352     841.702     37.3439     -60.7517     -1216.95     1219.06     70.0726     25.7006     -843.65     846.973
