px(Higgs)  py(Higgs)  pz(Higgs)  energ(Higgs)  masa(Higgs)  px(cest_1)  py(cest_1)  pz(cest_1)  energ(cest_1)  masa(cest_1)  px(cest_2)  py(cest_2)  pz(cest_2)  energ(cest_2)  masa(cest_2)
-526.933     -1093.64     1024.84     1593.62     124.998     -452.242     -983.817     865.939     1386.47     4.8     -74.6912     -109.82     158.902     207.153     4.8
1216.99     32.2579     665.491     1393.06     124.999     964.809     -0.279882     574.737     1123.03     4.8     252.182     32.5378     90.7547     270.026     4.8
767.221     -929.737     -248.131     1237.03     124.999     89.8191     -99.4218     -68.2243     150.432     4.8     677.402     -830.315     -179.907     1086.59     4.8
-1090.41     -509.032     323.495     1252.35     125.005     -1050.49     -489.299     285.251     1193.46     4.8     -39.914     -19.7334     38.2438     58.8911     4.8
1211.56     85.628     -2410.13     2701.77     125.001     715.336     110.676     -1456.2     1626.19     4.8     496.221     -25.0475     -953.927     1075.58     4.8
1185.66     -207.365     803.192     1452.42     125     381.425     -124.627     282.67     490.859     4.8     804.235     -82.7382     520.522     961.564     4.8
823.279     881.62     -1015.52     1581.76     124.999     313.193     425.829     -438.987     687.134     4.8     510.085     455.791     -576.535     894.622     4.8
-138.749     1197.93     1687.56     2077.92     125.002     -7.00886     410.065     500.089     646.772     4.8     -131.74     787.86     1187.47     1431.15     4.8
-947.792     -761.738     1488.3     1925.93     125.006     -880.487     -739.483     1422.39     1829.02     4.8     -67.3045     -22.2545     65.9102     96.9141     4.8
531.935     1095.49     1253.64     1752.22     124.994     453.196     911.33     1108.09     1504.59     4.8     78.7392     184.156     145.555     247.634     4.8
415.626     -1134.62     -45.3939     1215.65     125.001     330.448     -731.624     -36.0428     803.612     4.8     85.1775     -402.998     -9.35107     412.035     4.8
-699.974     -985.244     1528.35     1952.47     125.002     -203.675     -340.672     423.704     580.594     4.8     -496.299     -644.572     1104.64     1371.88     4.8
888.376     -831.938     -387.524     1283.41     125.011     307.111     -321.078     -199.282     486.975     4.8     581.265     -510.86     -188.242     796.433     4.8
720.797     970.991     711.398     1408.58     124.998     668.106     891.064     613.311     1271.43     4.8     52.6907     79.927     98.0865     137.145     4.8
-469.466     -1114.51     137.782     1223.57     124.998     -442.533     -1069.39     106.508     1162.24     4.8     -26.9331     -45.1153     31.2735     61.334     4.8
-97.4555     -1201.55     -263.083     1240.18     124.999     -106.572     -1131.44     -220.939     1157.74     4.8     9.11645     -70.1013     -42.1439     82.4406     4.8
-1190.88     -204.266     265.461     1243.39     124.999     -728.054     -133.914     223.793     773.37     4.8     -462.825     -70.3519     41.668     470.017     4.8
1133.18     -444.89     -1971.76     2320.67     125.021     761.013     -360.723     -1357.72     1597.71     4.8     372.168     -84.1667     -614.041     722.955     4.8
895.833     -822.347     -310.283     1261.22     125     721.769     -724.28     -254.037     1053.61     4.8     174.064     -98.0666     -56.2461     207.61     4.8
608.557     -1035.9     195.355     1223.61     125.002     122.526     -130.126     48.2184     185.185     4.8     486.031     -905.778     147.136     1038.43     4.8
1128.39     -442.013     1452.04     1895.44     125.002     698.205     -212.134     903.589     1161.46     4.8     430.184     -229.879     548.45     733.977     4.8
-1049.16     619.476     -722.559     1422.05     125.002     -564.795     393.415     -446.076     820.229     4.8     -484.369     226.061     -276.483     601.817     4.8
388.339     1148.9     801.231     1458.89     124.999     360.683     942.038     692.068     1223.32     4.8     27.6563     206.857     109.163     235.572     4.8
1003.72     -684.548     -818.965     1470.51     124.997     508.866     -416.848     -413.544     777.013     4.8     494.858     -267.7     -405.42     693.496     4.8
995.636     -685.276     134.272     1222.52     125.006     232.493     -160.468     84.876     295.008     4.8     763.143     -524.809     49.3964     927.51     4.8
1114.29     -452.203     723.06     1408.75     125.001     257.758     -86.8652     107.686     292.582     4.8     856.534     -365.337     615.374     1116.17     4.8
-402.388     -1150.83     -194.911     1240.95     125     -314.859     -918.665     -104.152     976.705     4.8     -87.5291     -232.167     -90.7597     264.241     4.8
1090.81     -530.848     829.768     1475.06     125.004     793.567     -337.975     543.437     1019.47     4.8     297.238     -192.873     286.331     455.587     4.8
-712.649     971.783     -553.381     1331.95     124.991     -634.791     864.835     -533.321     1198.06     4.8     -77.8583     106.948     -20.0596     133.885     4.8
308.78     -1169.01     -248.276     1240.65     125.009     191.634     -795.65     -110.9     825.896     4.8     117.146     -373.365     -137.376     414.752     4.8
938.488     -752.179     585.45     1343.47     124.995     527.251     -465.929     398.545     808.668     4.8     411.237     -286.251     186.905     534.801     4.8
-1212.27     15.1796     -796.933     1456.21     124.997     -875.157     6.61097     -639.979     1084.22     4.8     -337.114     8.5686     -156.953     371.99     4.8
1157.59     370.126     -690.633     1403.43     124.999     532.342     231.057     -354.371     679.983     4.8     625.249     139.069     -336.262     723.444     4.8
-1192.85     172.651     941.463     1534.5     125.002     -743.686     50.6415     551.359     927.175     4.8     -449.164     122.01     390.104     607.321     4.8
-554.617     -1073.2     -173.791     1226.86     124.999     -489.158     -1007.52     -177.276     1133.94     4.8     -65.4585     -65.6756     3.48468     92.9155     4.8
-1155.89     356.857     -287.734     1249.74     124.997     -135.979     48.3188     -76.613     163.455     4.8     -1019.91     308.538     -211.121     1086.28     4.8
-467.128     -1120.8     1603.66     2015.38     125     -442.486     -976.406     1370.1     1739.65     4.8     -24.6422     -144.394     233.553     275.73     4.8
471.72     1120.03     -1252.72     1749.83     124.994     202.741     376.646     -378.707     571.321     4.8     268.98     743.38     -874.013     1178.51     4.8
703.049     974.803     595.627     1347.19     124.998     338.029     480.9     360.357     689.499     4.8     365.019     493.903     235.27     657.689     4.8
-1101.64     496.221     -584.074     1347.82     125.002     -391.01     224.795     -172.573     482.935     4.8     -710.626     271.427     -411.501     864.88     4.8
-1174.68     -292.331     214.732     1235.75     124.998     -375.809     -118.44     16.1957     394.393     4.8     -798.871     -173.891     198.537     841.352     4.8
-138.431     1192.93     963.462     1544.71     125.001     -74.5735     1011.28     829.575     1310.14     4.8     -63.8575     181.653     133.887     234.573     4.8
1125.58     -438.215     -1230.42     1728.73     124.998     424.351     -101.145     -445.608     623.613     4.8     701.23     -337.07     -784.809     1105.12     4.8
-252.061     1177.63     329.983     1254.93     124.999     -157.195     930.08     224.905     969.724     4.8     -94.8663     247.547     105.078     285.208     4.8
572.961     -1052.9     -258.8     1232.67     125.003     373.023     -788.912     -161.519     887.49     4.8     199.939     -263.985     -97.2805     345.182     4.8
49.2247     -1212.94     -623.164     1370.26     125.002     -19.1705     -166.878     -125.992     210.031     4.8     68.3951     -1046.06     -497.172     1160.23     4.8
399.843     -1144.33     705.001     1407.84     124.999     142.314     -273.844     215.928     376.685     4.8     257.529     -870.487     489.073     1031.16     4.8
-657.093     -1006.99     17.9753     1209.03     124.997     -510.354     -861.481     32.1671     1001.83     4.8     -146.738     -145.506     -14.1918     207.192     4.8
1143.36     -372.806     -1216.39     1715.07     125.003     138.457     -71.449     -207.803     259.77     4.8     1004.9     -301.357     -1008.59     1455.3     4.8
1194.89     124.039     -129.178     1214.68     125.001     560.733     79.4363     -119.749     578.873     4.8     634.153     44.6025     -9.4285     635.808     4.8
588.8     1060.69     875.229     1501.13     125     299.733     413.409     369.715     630.444     4.8     289.067     647.279     505.514     870.688     4.8
1204.6     68.9602     -792.986     1449.23     124.999     787.631     -13.428     -527.958     948.317     4.8     416.972     82.3882     -265.029     500.916     4.8
-90.2176     -1215.21     470.624     1312.25     125     -119.988     -933.46     346.84     1003.03     4.8     29.7707     -281.752     123.784     309.218     4.8
-485.097     1104.69     -1543.82     1963.33     125.004     -40.5531     122.026     -229.595     263.195     4.8     -444.544     982.668     -1314.22     1700.14     4.8
968.599     737.386     965.211     1558.58     124.983     505.712     409.721     440.374     785.856     4.8     462.887     327.666     524.836     772.726     4.8
-399.776     1131.72     -1021.1     1580.78     125.001     -41.9049     58.9701     -35.6832     80.8073     4.8     -357.871     1072.75     -985.413     1499.97     4.8
-307.407     -1181.11     1088.26     1639.96     125.119     -38.7223     -45.939     50.7309     78.7812     4.8     -268.684     -1135.17     1037.53     1561.18     4.8
939.63     -777.14     -921.413     1533.45     124.996     665.527     -560.088     -725.151     1132.47     4.8     274.103     -217.053     -196.262     400.981     4.8
1045.57     615.021     -885.229     1506.89     125     676.624     334.155     -579.146     951.269     4.8     368.946     280.866     -306.083     555.623     4.8
-1201.25     -87.1855     835.626     1471.23     125.002     -776.146     -32.8295     604.101     984.094     4.8     -425.108     -54.3559     231.524     487.133     4.8
-262.647     1172.4     -232.908     1230.19     124.998     -23.7253     258.311     -11.0111     259.676     4.8     -238.922     914.086     -221.897     970.514     4.8
925.552     -777.959     -696.481     1400.92     125     3.97935     -16.6495     -22.3649     28.5705     4.8     921.573     -761.31     -674.116     1372.35     4.8
-269.353     -1178.49     1791.82     2165.1     125     -14.5793     -304.969     442.583     537.7     4.8     -254.774     -873.523     1349.24     1627.4     4.8
-395.451     1147.5     -65.7745     1221.92     124.997     -347.047     845.316     -60.5797     915.802     4.8     -48.4048     302.183     -5.19475     306.117     4.8
1172.64     -301.122     -1669.15     2065.78     125.003     990.089     -242.525     -1474.16     1792.28     4.8     182.551     -58.5973     -194.991     273.501     4.8
-1159.06     -338.668     109.257     1218.88     124.999     -1127.08     -322.324     125.892     1179.01     4.8     -31.9787     -16.3439     -16.6346     39.8686     4.8
-792.897     -902.937     793.806     1445.59     124.999     -22.4941     -64.4241     31.7409     75.412     4.8     -770.402     -838.512     762.065     1370.18     4.8
77.0105     1199.9     -1264.36     1749.26     125.001     58.959     1133.59     -1150.77     1616.42     4.8     18.0515     66.3049     -113.585     132.842     4.8
-672.401     1005.52     609.087     1360.07     125.006     -64.3252     145.021     116.835     197.084     4.8     -608.075     860.496     492.253     1162.99     4.8
167.558     1205.32     219.886     1242.92     125.001     -9.97695     326.891     54.7592     331.63     4.8     177.535     878.427     165.127     911.287     4.8
-317.722     1161.99     -705.562     1401.64     125     -263.76     740.789     -450.32     906.172     4.8     -53.9622     421.199     -255.242     495.472     4.8
-952.168     -763.088     827.863     1479.83     125.005     -493.595     -474.782     466.03     828.408     4.8     -458.573     -288.306     361.833     651.426     4.8
908.09     790.287     -15.3248     1210.39     124.999     887.772     755.908     3.437     1166.01     4.8     20.3177     34.3783     -18.7618     44.3816     4.8
920.585     779.347     23.9072     1212.87     125.002     729.442     551.962     -0.834961     914.752     4.8     191.144     227.385     24.7421     298.119     4.8
-854.252     -854.58     -1015.87     1583.56     125.003     -792.918     -770.494     -965.424     1467.8     4.8     -61.3336     -84.0859     -50.4435     115.758     4.8
-301.442     1169.42     -513.612     1318.27     125.001     -297.995     1064.27     -439.032     1189.22     4.8     -3.4467     105.148     -74.5799     129.047     4.8
1186.8     262.966     119.37     1227.82     124.997     934.016     224.907     141.875     971.144     4.8     252.789     38.0585     -22.5046     256.671     4.8
-911.648     -809.759     50.3575     1226.77     125.001     -75.2893     -38.9409     27.155     89.1364     4.8     -836.359     -770.819     23.2025     1137.64     4.8
327.476     -1168.03     -112     1224.63     125     235.011     -804.557     -134.292     848.881     4.8     92.4652     -363.476     22.2926     375.745     4.8
-816.183     -894.711     1151.28     1675.63     125     -118.581     -78.7865     108.827     179.263     4.8     -697.602     -815.924     1042.45     1496.36     4.8
-1195.88     -190.409     -352.592     1267.41     124.997     -14.5332     -13.2923     -17.3979     26.7138     4.8     -1181.35     -177.117     -335.194     1240.7     4.8
518.08     -1094.14     175.649     1229.65     125.042     0.684507     -35.4779     -9.01876     36.926     4.8     517.396     -1058.67     184.668     1192.73     4.8
369.101     -1147.14     547.604     1329.53     124.999     209.381     -477.835     271.022     587.914     4.8     159.719     -669.304     276.581     741.619     4.8
1010.11     674.816     3.81757     1221.2     125.005     409.606     338.121     -29.0558     531.95     4.8     600.501     336.694     32.8734     689.252     4.8
-183.139     1197.01     -1492.32     1925.87     124.999     5.48946     329.266     -406.012     522.796     4.8     -188.628     867.74     -1086.3     1403.08     4.8
-244.681     -1174.12     430.454     1280.37     124.998     -54.5569     -459.255     117.786     477.272     4.8     -190.124     -714.864     312.668     803.095     4.8
-906.679     789.688     -21.5909     1209.04     124.999     -648.21     520.563     -61.9829     833.682     4.8     -258.47     269.126     40.392     375.353     4.8
-1195.88     -130.595     -323.723     1252.04     125.012     -90.5718     -43.2481     -20.342     102.521     4.8     -1105.31     -87.3467     -303.381     1149.52     4.8
1028.47     -622.695     454.84     1291.51     125     592.713     -314.162     201.068     700.327     4.8     435.756     -308.533     253.772     591.185     4.8
68.7061     1208.52     1406.4     1859.79     125     -1.02963     551.001     558.786     784.772     4.8     69.7357     657.518     847.617     1075.02     4.8
-1103.22     477.663     393.055     1270.97     124.996     -765.725     392.084     289.607     907.723     4.8     -337.491     85.5783     103.448     363.247     4.8
-767.181     928.966     -554.467     1332.14     124.985     -266.171     351.592     -266.309     515.177     4.8     -501.01     577.374     -288.158     816.963     4.8
-1124.32     -425.831     -274.652     1239.56     125.04     -221.954     -32.58     -48.4992     229.565     4.8     -902.368     -393.251     -226.153     1009.99     4.8
-1197.69     118.671     -907.348     1512.43     124.995     -382.484     -18.8937     -271.612     469.518     4.8     -815.206     137.565     -635.736     1042.91     4.8
